,node_1,node_2
0,0,1472
1,0,2499
2,0,4036
3,0,3525
4,0,268
5,0,1296
6,0,3000
7,0,1375
8,0,806
9,0,2071
10,0,1242
11,0,3227
12,0,2590
13,0,2847
14,0,1185
15,0,3428
16,0,1062
17,0,1894
18,0,389
19,0,4075
20,0,722
21,0,947
22,0,2550
23,0,1208
24,0,1979
25,0,2783
26,0,1151
27,1,3461
28,1,2822
29,1,1544
30,1,2442
31,1,1420
32,1,1933
33,1,2648
34,1,405
35,1,2711
36,1,3311
37,1,2588
38,1,3361
39,1,2466
40,1,3619
41,1,3633
42,1,1672
43,1,300
44,1,2222
45,1,689
46,1,4025
47,1,959
48,1,709
49,1,1992
50,1,2252
51,1,1996
52,1,1869
53,1,2766
54,1,976
55,1,2004
56,1,853
57,1,342
58,1,1880
59,1,2009
60,1,862
61,1,2271
62,1,608
63,1,2299
64,1,2281
65,1,1258
66,1,2030
67,1,3823
68,1,757
69,1,1145
70,1,3874
71,1,764
72,1,126
73,2,2134
74,2,2571
75,2,3342
76,2,655
77,2,3600
78,2,3475
79,2,277
80,2,406
81,2,1817
82,2,160
83,2,3746
84,2,1955
85,2,2340
86,2,805
87,2,4006
88,2,2986
89,2,1200
90,2,1971
91,2,2959
92,2,58
93,2,3901
94,2,3061
95,2,960
96,2,3905
97,2,1475
98,2,3398
99,2,2355
100,2,458
101,2,3327
102,2,3535
103,2,3410
104,2,14
105,2,1622
106,2,1623
107,2,600
108,2,3673
109,2,2779
110,2,743
111,2,1385
112,2,2538
113,2,108
114,2,1773
115,2,3635
116,2,1781
117,2,2423
118,2,3711
119,2,3709
120,2,2047
121,3,3072
122,3,3329
123,3,3586
124,3,3331
125,3,1413
126,3,1665
127,3,2440
128,3,650
129,3,907
130,3,2446
131,3,1551
132,3,2584
133,3,3090
134,3,3731
135,3,1556
136,3,1558
137,3,2839
138,3,2456
139,3,2585
140,3,640
141,3,3612
142,3,798
143,3,3872
144,3,674
145,3,2342
146,3,3825
147,3,1704
148,3,796
149,3,2347
150,3,1068
151,3,370
152,3,3118
153,3,1455
154,3,2356
155,3,2741
156,3,2364
157,3,565
158,3,3520
159,3,1473
160,3,2506
161,3,3920
162,3,2132
163,3,3414
164,3,2136
165,3,606
166,3,344
167,3,2768
168,3,2018
169,3,678
170,3,2278
171,3,3136
172,3,105
173,3,1191
174,3,4080
175,3,1521
176,3,3456
177,3,1398
178,3,1616
179,3,1787
180,3,893
181,4,1025
182,4,771
183,4,516
184,4,2567
185,4,3850
186,4,523
187,4,1805
188,4,365
189,4,1040
190,4,1170
191,4,2452
192,4,3730
193,4,1943
194,4,3097
195,4,461
196,4,1820
197,4,491
198,4,3105
199,4,3234
200,4,1317
201,4,1192
202,4,1705
203,4,2858
204,4,555
205,4,302
206,4,943
207,4,1587
208,4,2612
209,4,1591
210,4,3384
211,4,3060
212,4,4026
213,4,1981
214,4,4030
215,4,704
216,4,578
217,4,4035
218,4,582
219,4,330
220,4,2615
221,4,1356
222,4,3405
223,4,653
224,4,1747
225,4,203
226,4,2873
227,4,1209
228,4,222
229,4,3680
230,4,3429
231,4,2918
232,4,3563
233,4,2834
234,4,1264
235,4,1832
236,4,2164
237,4,1782
238,4,2857
239,4,52
240,4,1913
241,4,3962
242,4,509
243,5,708
244,5,3591
245,5,8
246,5,567
247,5,3467
248,5,1100
249,5,399
250,5,3152
251,5,593
252,5,3474
253,5,3412
254,5,1991
255,5,2649
256,5,2073
257,5,2586
258,5,1947
259,5,2715
260,5,3367
261,5,4071
262,5,2351
263,5,3441
264,5,2485
265,5,3127
266,5,825
267,5,1087
268,6,3585
269,6,2050
270,6,517
271,6,775
272,6,1289
273,6,1291
274,6,2828
275,6,1218
276,6,3599
277,6,147
278,6,849
279,6,1695
280,6,290
281,6,2211
282,6,1188
283,6,1318
284,6,3239
285,6,1064
286,6,1961
287,6,2474
288,6,2988
289,6,1327
290,6,547
291,6,818
292,6,698
293,6,2236
294,6,3902
295,6,3394
296,6,2657
297,6,3661
298,6,3918
299,6,1488
300,6,3025
301,6,2003
302,6,3028
303,6,1750
304,6,2809
305,6,3804
306,6,2654
307,6,1249
308,6,3684
309,6,1253
310,6,999
311,6,3944
312,6,127
313,6,1702
314,6,3183
315,6,499
316,6,2041
317,6,639
318,6,2814
319,6,2815
320,7,2816
321,7,2692
322,7,3847
323,7,1033
324,7,1807
325,7,196
326,7,2969
327,7,3993
328,7,3229
329,7,2336
330,7,1196
331,7,3235
332,7,198
333,7,2860
334,7,3495
335,7,424
336,7,1817
337,7,45
338,7,558
339,7,797
340,7,1202
341,7,1203
342,7,3893
343,7,1078
344,7,1724
345,7,1853
346,7,3012
347,7,710
348,7,3911
349,7,2121
350,7,4042
351,7,3795
352,7,84
353,7,3029
354,7,2845
355,7,735
356,7,3481
357,7,2787
358,7,2662
359,7,2920
360,7,2409
361,7,3306
362,7,2467
363,7,1646
364,7,3635
365,7,1524
366,7,3061
367,7,374
368,7,3049
369,7,2425
370,7,3579
371,8,708
372,8,3591
373,8,3592
374,8,567
375,8,3467
376,8,1100
377,8,825
378,8,1744
379,8,399
