,node_1,node_2
0,0,896
1,0,129
2,0,516
3,0,1030
4,0,903
5,0,1033
6,0,523
7,0,654
8,0,655
9,0,534
10,0,329
11,0,1049
12,0,282
13,0,815
14,0,542
15,0,929
16,0,39
17,0,249
18,0,553
19,0,939
20,0,557
21,0,687
22,0,695
23,0,440
24,0,825
25,0,442
26,0,699
27,0,1213
28,0,215
29,0,703
30,0,582
31,0,337
32,0,332
33,0,970
34,0,1207
35,0,1100
36,0,717
37,0,1230
38,0,589
39,0,464
40,0,593
41,0,595
42,0,469
43,0,1239
44,0,728
45,0,100
46,0,731
47,0,471
48,0,1245
49,0,199
50,0,1247
51,0,609
52,0,484
53,0,871
54,0,1264
55,0,1018
56,0,467
57,0,1014
58,0,761
59,0,762
60,0,509
61,1,833
62,1,410
63,1,598
64,1,966
65,1,1159
66,1,460
67,1,407
68,1,652
69,1,20
70,1,1169
71,1,403
72,1,980
73,1,1109
74,1,790
75,1,569
76,1,984
77,1,153
78,1,602
79,1,1115
80,1,785
81,1,954
82,1,798
83,1,1055
84,1,48
85,1,1059
86,1,1189
87,1,1190
88,1,1063
89,1,732
90,1,42
91,1,237
92,1,496
93,1,1201
94,1,102
95,1,540
96,1,510
97,1,1142
98,1,889
99,1,1210
100,1,447
101,1,313
102,1,638
103,1,1125
104,2,1056
105,2,390
106,2,1025
107,2,672
108,2,969
109,2,458
110,2,1099
111,2,1164
112,2,400
113,2,145
114,2,1234
115,2,276
116,2,982
117,2,793
118,2,603
119,2,1116
120,2,1120
121,2,98
122,2,804
123,2,549
124,2,744
125,2,361
126,2,530
127,2,942
128,2,879
129,2,176
130,2,552
131,2,1078
132,2,634
133,2,893
134,2,318
135,3,768
136,3,579
137,3,741
138,3,1001
139,3,111
140,3,908
141,3,1019
142,3,656
143,3,795
144,3,829
145,3,1054
146,3,1119
147,4,512
148,4,259
149,4,12
150,4,781
151,4,846
152,4,461
153,4,404
154,4,1237
155,4,86
156,4,604
157,4,1117
158,4,862
159,4,736
160,4,1126
161,4,1127
162,4,1258
163,4,1195
164,4,813
165,4,433
166,4,30
167,4,767
168,4,188
169,4,702
170,4,319
171,5,704
172,5,576
173,5,331
174,5,147
175,5,309
176,5,262
177,5,449
178,5,1087
179,5,1098
180,5,791
181,5,162
182,5,79
183,5,658
184,5,227
185,5,148
186,5,431
187,5,150
188,5,663
189,5,250
190,5,943
191,5,989
192,5,607
193,5,1057
194,5,226
195,5,803
